date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:17:06	74678/74678	---M-Z	200	added ('OK')	text/html	etag:%22123b6-5fc7824a-0;gz%22	https://softali.net/victor/wookie/html/product-04.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/product-04.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:06	79903/79903	---M-Z	200	added ('OK')	text/html	etag:%221381f-5fc7824d-0;gz%22	https://softali.net/victor/wookie/html/product-variable.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/product-variable.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:06	77426/77426	---M-Z	200	added ('OK')	text/html	etag:%2212e72-5fc7824c-0;gz%22	https://softali.net/victor/wookie/html/product-three-columns.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/product-three-columns.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:07	75910/75910	---M-Z	200	added ('OK')	text/html	etag:%2212886-5fc7824b-0;gz%22	https://softali.net/victor/wookie/html/product-label-new.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/product-label-new.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:07	75967/75967	---M-Z	200	added ('OK')	text/html	etag:%22128bf-5fc7824c-0;gz%22	https://softali.net/victor/wookie/html/product-label-sale.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/product-label-sale.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:07	75676/75676	---M-Z	200	added ('OK')	text/html	etag:%221279c-5fc7824b-0;gz%22	https://softali.net/victor/wookie/html/product-label-out-of-stock.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/product-label-out-of-stock.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:07	58703/58703	---M-Z	200	added ('OK')	text/html	etag:%22e54f-5fc7824f-0;gz%22	https://softali.net/victor/wookie/html/shopping_cart_02.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/shopping_cart_02.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:08	58640/58640	---M-Z	200	added ('OK')	text/html	etag:%22e510-5fc7824e-0;gz%22	https://softali.net/victor/wookie/html/shopping_cart_01.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/shopping_cart_01.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:08	52530/52530	---M-Z	200	added ('OK')	text/html	etag:%22cd32-5fc7820b-0;gz%22	https://softali.net/victor/wookie/html/account.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/account.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:08	53723/53723	---M-Z	200	added ('OK')	text/html	etag:%22d1db-5fc7820b-0;gz%22	https://softali.net/victor/wookie/html/account_address.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/account_address.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:09	53468/53468	---M-Z	200	added ('OK')	text/html	etag:%22d0dc-5fc7820b-0;gz%22	https://softali.net/victor/wookie/html/account_address_fields.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/account_address_fields.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:09	63352/63352	---M-Z	200	added ('OK')	text/html	etag:%22f778-5fc7820d-0;gz%22	https://softali.net/victor/wookie/html/blog-listing-without-col.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-listing-without-col.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:09	68843/68843	---M-Z	200	added ('OK')	text/html	etag:%2210ceb-5fc7820c-0;gz%22	https://softali.net/victor/wookie/html/blog-listing-col-left.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-listing-col-left.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:09	68833/68833	---M-Z	200	added ('OK')	text/html	etag:%2210ce1-5fc7820c-0;gz%22	https://softali.net/victor/wookie/html/blog-listing-col-right.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-listing-col-right.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:10	59171/59171	---M-Z	200	added ('OK')	text/html	etag:%22e723-5fc7820d-0;gz%22	https://softali.net/victor/wookie/html/blog-masonry-col-2.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-masonry-col-2.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:10	59178/59178	---M-Z	200	added ('OK')	text/html	etag:%22e72a-5fc7820e-0;gz%22	https://softali.net/victor/wookie/html/blog-masonry-col-3.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-masonry-col-3.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:10	59583/59583	---M-Z	200	added ('OK')	text/html	etag:%22e8bf-5fc7820e-0;gz%22	https://softali.net/victor/wookie/html/blog-masonry-col-3-filter.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-masonry-col-3-filter.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:11	59335/59335	---M-Z	200	added ('OK')	text/html	etag:%22e7c7-5fc78211-0;gz%22	https://softali.net/victor/wookie/html/blog-single-post.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-single-post.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:11	56128/56128	---M-Z	200	added ('OK')	text/html	etag:%22db40-5fc7820f-0;gz%22	https://softali.net/victor/wookie/html/blog-single-post-gallery.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-single-post-gallery.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:11	55327/55327	---M-Z	200	added ('OK')	text/html	etag:%22d81f-5fc78210-0;gz%22	https://softali.net/victor/wookie/html/blog-single-post-link.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-single-post-link.html	(from https://softali.net/victor/wookie/html/index.html)
12:17:11	55212/55212	---M-Z	200	added ('OK')	text/html	etag:%22d7ac-5fc78210-0;gz%22	https://softali.net/victor/wookie/html/blog-single-post-quote.html	D:/Theme/Theme04/theme%204/softali.net/victor/wookie/html/blog-single-post-quote.html	(from https://softali.net/victor/wookie/html/index.html)
